[0.09974020783373302, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[0.10133892885691448, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[0.09614308553157475, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[0.09694244604316547, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[0.10173860911270984, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[0.11173061550759393, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[0.09934052757793765, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[0.09734212629896083, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[0.09734212629896083, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[0.0977418065547562, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.12952745849297573, 0.010155535224153705]
[1.9984012789768187E-5, 1.9984012789768187E-5, 2.554278416347382E-5, 0.45297346752058554]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.14102171136653896, 0.019304666056724613]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.09478927203065135, 0.1364135407136322]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.018160919540229883, 0.3596523330283623]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.11215836526181354, 0.0064958828911253425]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.13412515964240102, 9.149130832570906E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.12467432950191572, 9.149130832570906E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.12314176245210728, 0.007410795974382434]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.12160919540229885, 0.004666056724611162]
[1.9984012789768187E-5, 0.10513589128697043, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 0.10353717026378897, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 0.09754196642685851, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 0.09814148681055156, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 0.10193844924060752, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 0.10133892885691448, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 0.09614308553157475, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 0.09834132693844924, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 0.09714228617106316, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 0.10013988808952838, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 2.554278416347382E-5, 9.149130832570906E-5]
